Date,Price
"Oct 01, 2018",56.81
"Sep 28, 2018",56.44
"Sep 27, 2018",56.24
"Sep 26, 2018",55.10
"Sep 25, 2018",55.55
"Sep 24, 2018",55.20
"Sep 21, 2018",54.41
"Sep 20, 2018",55.01
"Sep 19, 2018",54.59
"Sep 18, 2018",54.56
"Sep 17, 2018",54.47
"Sep 14, 2018",55.96
"Sep 13, 2018",56.60
"Sep 12, 2018",55.27
"Sep 11, 2018",55.96
"Sep 10, 2018",54.58
"Sep 07, 2018",55.33
"Sep 06, 2018",55.77
"Sep 05, 2018",56.72
"Sep 04, 2018",57.09
"Aug 31, 2018",56.91
"Aug 30, 2018",56.26
"Aug 29, 2018",55.74
"Aug 28, 2018",54.92
"Aug 27, 2018",54.48
"Aug 24, 2018",54.04
"Aug 23, 2018",53.87
"Aug 22, 2018",53.76
"Aug 21, 2018",53.76
"Aug 20, 2018",53.87
"Aug 17, 2018",54.40
"Aug 16, 2018",53.33
"Aug 15, 2018",52.56
"Aug 14, 2018",52.44
"Aug 13, 2018",52.22
"Aug 10, 2018",51.88
"Aug 09, 2018",52.22
"Aug 08, 2018",51.81
"Aug 07, 2018",51.78
"Aug 06, 2018",52.27
"Aug 03, 2018",52.00
"Aug 02, 2018",51.85
"Aug 01, 2018",50.38
"Jul 31, 2018",47.57
"Jul 30, 2018",47.48
"Jul 27, 2018",47.74
"Jul 26, 2018",48.55
"Jul 25, 2018",48.70
"Jul 24, 2018",48.25
"Jul 23, 2018",47.90
"Jul 20, 2018",47.86
"Jul 19, 2018",47.97
"Jul 18, 2018",47.60
"Jul 17, 2018",47.86
"Jul 16, 2018",47.73
"Jul 13, 2018",47.83
"Jul 12, 2018",47.76
"Jul 11, 2018",46.97
"Jul 10, 2018",47.59
"Jul 09, 2018",47.65
"Jul 06, 2018",46.99
"Jul 05, 2018",46.35
